Rank,Club,Country,Level,Elo,From,To
None,Norwich,ENG,2,1339.18481445,1960-07-01,1960-08-20
None,Norwich,ENG,2,1341.94543457,1960-08-21,1960-08-24
None,Norwich,ENG,2,1358.59875488,1960-08-25,1960-08-27
None,Norwich,ENG,2,1361.84667969,1960-08-28,1960-08-31
None,Norwich,ENG,2,1373.81640625,1960-09-01,1960-09-03
None,Norwich,ENG,2,1371.61987305,1960-09-04,1960-09-07
None,Norwich,ENG,2,1377.70874023,1960-09-08,1960-09-10
None,Norwich,ENG,2,1398.07373047,1960-09-11,1960-09-14
None,Norwich,ENG,2,1388.99633789,1960-09-15,1960-09-17
None,Norwich,ENG,2,1400.86010742,1960-09-18,1960-09-24
None,Norwich,ENG,2,1392.24267578,1960-09-25,1960-10-01
None,Norwich,ENG,2,1402.28857422,1960-10-02,1960-10-08
None,Norwich,ENG,2,1399.51367188,1960-10-09,1960-10-15
None,Norwich,ENG,2,1394.79626465,1960-10-16,1960-10-22
None,Norwich,ENG,2,1403.18334961,1960-10-23,1960-10-29
None,Norwich,ENG,2,1406.37207031,1960-10-30,1960-11-05
None,Norwich,ENG,2,1414.94348145,1960-11-06,1960-11-12
None,Norwich,ENG,2,1412.10461426,1960-11-13,1960-11-16
None,Norwich,ENG,2,1416.74511719,1960-11-17,1960-11-19
None,Norwich,ENG,2,1422.18920898,1960-11-20,1960-11-26
None,Norwich,ENG,2,1425.03503418,1960-11-27,1960-11-30
None,Norwich,ENG,2,1432.89587402,1960-12-01,1960-12-03
None,Norwich,ENG,2,1438.50622559,1960-12-04,1960-12-10
None,Norwich,ENG,2,1433.62780762,1960-12-11,1960-12-17
None,Norwich,ENG,2,1439.57495117,1960-12-18,1960-12-26
None,Norwich,ENG,2,1425.01269531,1960-12-27,1960-12-27
None,Norwich,ENG,2,1419.47119141,1960-12-28,1960-12-31
None,Norwich,ENG,2,1424.83752441,1961-01-01,1961-01-14
None,Norwich,ENG,2,1415.3614502,1961-01-15,1961-01-18
None,Norwich,ENG,2,1418.02197266,1961-01-19,1961-01-21
None,Norwich,ENG,2,1424.97265625,1961-01-22,1961-02-04
None,Norwich,ENG,2,1440.83972168,1961-02-05,1961-02-11
None,Norwich,ENG,2,1445.81506348,1961-02-12,1961-02-21
None,Norwich,ENG,2,1448.81982422,1961-02-22,1961-02-25
None,Norwich,ENG,2,1451.0970459,1961-02-26,1961-03-04
None,Norwich,ENG,2,1463.11450195,1961-03-05,1961-03-11
None,Norwich,ENG,2,1458.67285156,1961-03-12,1961-03-15
None,Norwich,ENG,2,1446.15930176,1961-03-16,1961-03-18
None,Norwich,ENG,2,1434.61889648,1961-03-19,1961-03-25
None,Norwich,ENG,2,1449.67529297,1961-03-26,1961-03-31
None,Norwich,ENG,2,1470.140625,1961-04-01,1961-04-01
None,Norwich,ENG,2,1453.78979492,1961-04-02,1961-04-03
None,Norwich,ENG,2,1464.2364502,1961-04-04,1961-04-08
None,Norwich,ENG,2,1456.46569824,1961-04-09,1961-04-15
None,Norwich,ENG,2,1463.85461426,1961-04-16,1961-04-22
None,Norwich,ENG,2,1457.64904785,1961-04-23,1961-04-29
None,Norwich,ENG,2,1467.03356934,1961-04-30,1961-08-19
None,Norwich,ENG,2,1471.20690918,1961-08-20,1961-08-23
None,Norwich,ENG,2,1467.05859375,1961-08-24,1961-08-26
None,Norwich,ENG,2,1470.04077148,1961-08-27,1961-08-29
None,Norwich,ENG,2,1461.34936523,1961-08-30,1961-09-02
None,Norwich,ENG,2,1453.85827637,1961-09-03,1961-09-06
None,Norwich,ENG,2,1460.75170898,1961-09-07,1961-09-09
None,Norwich,ENG,2,1453.10180664,1961-09-10,1961-09-13
None,Norwich,ENG,2,1451.20568848,1961-09-14,1961-09-16
None,Norwich,ENG,2,1458.79650879,1961-09-17,1961-09-20
None,Norwich,ENG,2,1472.09130859,1961-09-21,1961-09-23
None,Norwich,ENG,2,1461.3494873,1961-09-24,1961-09-27
None,Norwich,ENG,2,1461.94091797,1961-09-28,1961-09-30
None,Norwich,ENG,2,1457.39868164,1961-10-01,1961-10-07
None,Norwich,ENG,2,1460.08398438,1961-10-08,1961-10-14
None,Norwich,ENG,2,1465.62353516,1961-10-15,1961-10-16
None,Norwich,ENG,2,1458.20776367,1961-10-17,1961-10-18
None,Norwich,ENG,2,1442.94067383,1961-10-19,1961-10-21
None,Norwich,ENG,2,1445.95239258,1961-10-22,1961-10-24
None,Norwich,ENG,2,1448.92834473,1961-10-25,1961-10-25
None,Norwich,ENG,2,1447.03283691,1961-10-26,1961-10-28
None,Norwich,ENG,2,1426.07067871,1961-10-29,1961-11-02
None,Norwich,ENG,2,1425.34558105,1961-11-03,1961-11-04
None,Norwich,ENG,2,1430.92346191,1961-11-05,1961-11-08
None,Norwich,ENG,2,1428.77661133,1961-11-09,1961-11-11
None,Norwich,ENG,2,1437.81945801,1961-11-12,1961-11-18
None,Norwich,ENG,2,1422.0994873,1961-11-19,1961-11-25
None,Norwich,ENG,2,1427.58215332,1961-11-26,1961-12-02
None,Norwich,ENG,2,1420.96862793,1961-12-03,1961-12-09
None,Norwich,ENG,2,1426.05175781,1961-12-10,1961-12-16
None,Norwich,ENG,2,1434.38220215,1961-12-17,1961-12-23
None,Norwich,ENG,2,1430.09375,1961-12-24,1961-12-26
None,Norwich,ENG,2,1414.92541504,1961-12-27,1961-12-30
None,Norwich,ENG,2,1408.74450684,1961-12-31,1962-01-13
None,Norwich,ENG,2,1406.4239502,1962-01-14,1962-01-20
None,Norwich,ENG,2,1396.68701172,1962-01-21,1962-02-03
None,Norwich,ENG,2,1391.69421387,1962-02-04,1962-02-10
None,Norwich,ENG,2,1397.71862793,1962-02-11,1962-02-14
None,Norwich,ENG,2,1398.19458008,1962-02-15,1962-02-24
None,Norwich,ENG,2,1388.04785156,1962-02-25,1962-02-26
None,Norwich,ENG,2,1399.77209473,1962-02-27,1962-02-27
None,Norwich,ENG,2,1394.41345215,1962-02-28,1962-03-03
None,Norwich,ENG,2,1412.91345215,1962-03-04,1962-03-10
None,Norwich,ENG,2,1410.85095215,1962-03-11,1962-03-17
None,Norwich,ENG,2,1422.01074219,1962-03-18,1962-03-21
None,Norwich,ENG,2,1419.48449707,1962-03-22,1962-03-24
None,Norwich,ENG,2,1418.02966309,1962-03-25,1962-03-30
None,Norwich,ENG,2,1412.72802734,1962-03-31,1962-04-05
None,Norwich,ENG,2,1408.63024902,1962-04-06,1962-04-07
None,Norwich,ENG,2,1415.79418945,1962-04-08,1962-04-14
None,Norwich,ENG,2,1418.49438477,1962-04-15,1962-04-20
None,Norwich,ENG,2,1411.00720215,1962-04-21,1962-04-21
None,Norwich,ENG,2,1409.74755859,1962-04-22,1962-04-23
None,Norwich,ENG,2,1415.97167969,1962-04-24,1962-04-28
None,Norwich,ENG,2,1411.45410156,1962-04-29,1962-08-18
None,Norwich,ENG,2,1416.20935059,1962-08-19,1962-08-22
None,Norwich,ENG,2,1415.77197266,1962-08-23,1962-08-25
None,Norwich,ENG,2,1421.57653809,1962-08-26,1962-08-29
None,Norwich,ENG,2,1439.44567871,1962-08-30,1962-09-01
None,Norwich,ENG,2,1450.4185791,1962-09-02,1962-09-05
None,Norwich,ENG,2,1440.15771484,1962-09-06,1962-09-08
None,Norwich,ENG,2,1436.09484863,1962-09-09,1962-09-12
None,Norwich,ENG,2,1440.31848145,1962-09-13,1962-09-15
None,Norwich,ENG,2,1444.41333008,1962-09-16,1962-09-18
None,Norwich,ENG,2,1444.44140625,1962-09-19,1962-09-22
None,Norwich,ENG,2,1439.9864502,1962-09-23,1962-09-25
None,Norwich,ENG,2,1440.04016113,1962-09-26,1962-09-29
None,Norwich,ENG,2,1445.29345703,1962-09-30,1962-10-05
None,Norwich,ENG,2,1461.9498291,1962-10-06,1962-10-13
None,Norwich,ENG,2,1441.90795898,1962-10-14,1962-10-20
None,Norwich,ENG,2,1432.93286133,1962-10-21,1962-10-27
None,Norwich,ENG,2,1444.27978516,1962-10-28,1962-10-31
None,Norwich,ENG,2,1451.69934082,1962-11-01,1962-11-03
None,Norwich,ENG,2,1441.80834961,1962-11-04,1962-11-10
None,Norwich,ENG,2,1452.42028809,1962-11-11,1962-11-14
