Rank,Club,Country,Level,Elo,From,To
None,Swansea,ENG,2,1365.06604004,1946-07-07,1946-09-04
None,Swansea,ENG,2,1354.58044434,1946-09-05,1946-09-07
None,Swansea,ENG,2,1357.89892578,1946-09-08,1946-09-09
None,Swansea,ENG,2,1363.35522461,1946-09-10,1946-09-14
None,Swansea,ENG,2,1340.7713623,1946-09-15,1946-09-21
None,Swansea,ENG,2,1327.63134766,1946-09-22,1946-09-28
None,Swansea,ENG,2,1323.33166504,1946-09-29,1946-09-29
None,Swansea,ENG,2,1340.33166504,1946-09-30,1946-10-03
None,Swansea,ENG,2,1355.84057617,1946-10-04,1946-10-05
None,Swansea,ENG,2,1355.54577637,1946-10-06,1946-10-12
None,Swansea,ENG,2,1368.54089355,1946-10-13,1946-10-19
None,Swansea,ENG,2,1372.49475098,1946-10-20,1946-10-26
None,Swansea,ENG,2,1378.16784668,1946-10-27,1946-11-02
None,Swansea,ENG,2,1367.63183594,1946-11-03,1946-11-09
None,Swansea,ENG,2,1355.19812012,1946-11-10,1946-11-16
None,Swansea,ENG,2,1373.25158691,1946-11-17,1946-11-23
None,Swansea,ENG,2,1382.2322998,1946-11-24,1946-11-30
None,Swansea,ENG,2,1381.49951172,1946-12-01,1946-12-07
None,Swansea,ENG,2,1372.55419922,1946-12-08,1946-12-14
None,Swansea,ENG,2,1368.86425781,1946-12-15,1946-12-25
None,Swansea,ENG,2,1364.30957031,1946-12-26,1946-12-26
None,Swansea,ENG,2,1373.18896484,1946-12-27,1946-12-28
None,Swansea,ENG,2,1369.28125,1946-12-29,1947-01-04
None,Swansea,ENG,2,1361.48803711,1947-01-05,1947-01-18
None,Swansea,ENG,2,1364.72583008,1947-01-19,1947-01-27
None,Swansea,ENG,2,1359.52416992,1947-01-28,1947-02-01
None,Swansea,ENG,2,1349.64282227,1947-02-02,1947-02-15
None,Swansea,ENG,2,1357.11999512,1947-02-16,1947-02-22
None,Swansea,ENG,2,1350.63134766,1947-02-23,1947-03-01
None,Swansea,ENG,2,1343.33312988,1947-03-02,1947-03-15
None,Swansea,ENG,2,1336.51721191,1947-03-16,1947-03-22
None,Swansea,ENG,2,1343.30358887,1947-03-23,1947-03-29
None,Swansea,ENG,2,1336.34313965,1947-03-30,1947-04-05
None,Swansea,ENG,2,1345.7376709,1947-04-06,1947-04-07
None,Swansea,ENG,2,1336.76501465,1947-04-08,1947-04-08
None,Swansea,ENG,2,1333.13562012,1947-04-09,1947-04-12
None,Swansea,ENG,2,1345.93383789,1947-04-13,1947-04-13
None,Swansea,ENG,2,1335.93383789,1947-04-14,1947-04-19
None,Swansea,ENG,2,1327.18688965,1947-04-20,1947-04-26
None,Swansea,ENG,2,1330.67163086,1947-04-27,1947-05-03
None,Swansea,ENG,2,1334.6048584,1947-05-04,1947-05-04
None,Swansea,ENG,2,1338.6048584,1947-05-05,1947-05-10
None,Swansea,ENG,2,1346.60803223,1947-05-11,1947-05-17
None,Swansea,ENG,2,1340.68103027,1947-05-18,1947-05-20
None,Swansea,ENG,2,1327.68103027,1947-05-21,1947-05-26
None,Swansea,ENG,2,1327.99108887,1947-05-27,1947-07-04
None,Swansea,ENG,2,1343.11486816,1949-07-02,1949-08-20
None,Swansea,ENG,2,1354.89562988,1949-08-21,1949-08-22
None,Swansea,ENG,2,1362.45727539,1949-08-23,1949-08-27
None,Swansea,ENG,2,1359.53723145,1949-08-28,1949-09-01
None,Swansea,ENG,2,1370.6854248,1949-09-02,1949-09-03
None,Swansea,ENG,2,1381.77124023,1949-09-04,1949-09-07
None,Swansea,ENG,2,1378.11767578,1949-09-08,1949-09-10
None,Swansea,ENG,2,1396.19543457,1949-09-11,1949-09-17
None,Swansea,ENG,2,1406.6529541,1949-09-18,1949-09-22
None,Swansea,ENG,2,1378.6529541,1949-09-23,1949-09-24
None,Swansea,ENG,2,1375.92211914,1949-09-25,1949-10-01
None,Swansea,ENG,2,1368.55773926,1949-10-02,1949-10-08
None,Swansea,ENG,2,1377.58557129,1949-10-09,1949-10-15
None,Swansea,ENG,2,1379.09155273,1949-10-16,1949-10-16
None,Swansea,ENG,2,1402.09155273,1949-10-17,1949-10-22
None,Swansea,ENG,2,1392.14086914,1949-10-23,1949-10-29
None,Swansea,ENG,2,1386.23205566,1949-10-30,1949-11-05
None,Swansea,ENG,2,1383.21228027,1949-11-06,1949-11-12
None,Swansea,ENG,2,1376.14758301,1949-11-13,1949-11-19
None,Swansea,ENG,2,1388.39660645,1949-11-20,1949-11-26
None,Swansea,ENG,2,1391.08312988,1949-11-27,1949-12-03
None,Swansea,ENG,2,1395.0625,1949-12-04,1949-12-10
