Rank,Club,Country,Level,Elo,From,To
None,Forest,ENG,2,1365.06604004,1946-07-07,1946-09-05
None,Forest,ENG,2,1350.77246094,1946-09-06,1946-09-07
None,Forest,ENG,2,1363.5333252,1946-09-08,1946-09-09
None,Forest,ENG,2,1358.07714844,1946-09-10,1946-09-14
None,Forest,ENG,2,1349.49401855,1946-09-15,1946-09-21
None,Forest,ENG,2,1357.83398438,1946-09-22,1946-09-28
None,Forest,ENG,2,1363.09777832,1946-09-29,1946-09-29
None,Forest,ENG,2,1380.09777832,1946-09-30,1946-10-03
None,Forest,ENG,2,1386.09777832,1946-10-04,1946-10-05
None,Forest,ENG,2,1374.22924805,1946-10-06,1946-10-12
None,Forest,ENG,2,1372.77697754,1946-10-13,1946-10-19
None,Forest,ENG,2,1365.65576172,1946-10-20,1946-10-26
None,Forest,ENG,2,1374.12634277,1946-10-27,1946-11-02
None,Forest,ENG,2,1377.84570312,1946-11-03,1946-11-09
None,Forest,ENG,2,1366.33862305,1946-11-10,1946-11-16
None,Forest,ENG,2,1393.60546875,1946-11-17,1946-11-23
None,Forest,ENG,2,1384.63513184,1946-11-24,1946-11-30
None,Forest,ENG,2,1390.71618652,1946-12-01,1946-12-07
None,Forest,ENG,2,1387.67248535,1946-12-08,1946-12-21
None,Forest,ENG,2,1394.92749023,1946-12-22,1946-12-25
None,Forest,ENG,2,1387.59851074,1946-12-26,1946-12-26
None,Forest,ENG,2,1395.19885254,1946-12-27,1946-12-28
None,Forest,ENG,2,1400.03125,1946-12-29,1947-01-01
None,Forest,ENG,2,1392.43762207,1947-01-02,1947-01-04
None,Forest,ENG,2,1405.66699219,1947-01-05,1947-01-18
None,Forest,ENG,2,1418.27331543,1947-01-19,1947-01-29
None,Forest,ENG,2,1412.68920898,1947-01-30,1947-02-01
None,Forest,ENG,2,1415.28588867,1947-02-02,1947-03-01
None,Forest,ENG,2,1418.62524414,1947-03-02,1947-03-15
None,Forest,ENG,2,1404.21533203,1947-03-16,1947-03-29
None,Forest,ENG,2,1401.14978027,1947-03-30,1947-04-04
None,Forest,ENG,2,1395.0859375,1947-04-05,1947-04-05
None,Forest,ENG,2,1399.94592285,1947-04-06,1947-04-07
None,Forest,ENG,2,1398.56140137,1947-04-08,1947-04-12
None,Forest,ENG,2,1390.39123535,1947-04-13,1947-04-13
None,Forest,ENG,2,1380.39123535,1947-04-14,1947-04-19
None,Forest,ENG,2,1385.96032715,1947-04-20,1947-04-26
None,Forest,ENG,2,1374.8927002,1947-04-27,1947-05-03
None,Forest,ENG,2,1370.95947266,1947-05-04,1947-05-04
None,Forest,ENG,2,1374.95947266,1947-05-05,1947-05-10
None,Forest,ENG,2,1375.30554199,1947-05-11,1947-05-17
None,Forest,ENG,2,1366.32312012,1947-05-18,1947-05-20
None,Forest,ENG,2,1353.32312012,1947-05-21,1947-05-26
None,Forest,ENG,2,1373.8215332,1947-05-27,1947-05-27
None,Forest,ENG,2,1381.01379395,1947-05-28,1947-05-31
None,Forest,ENG,2,1389.46069336,1947-06-01,1947-06-14
None,Forest,ENG,2,1400.01525879,1947-06-15,1947-08-23
None,Forest,ENG,2,1404.77380371,1947-08-24,1947-08-27
None,Forest,ENG,2,1394.32189941,1947-08-28,1947-08-30
None,Forest,ENG,2,1389.01733398,1947-08-31,1947-09-03
None,Forest,ENG,2,1382.48803711,1947-09-04,1947-09-06
None,Forest,ENG,2,1369.72607422,1947-09-07,1947-09-10
None,Forest,ENG,2,1363.26074219,1947-09-11,1947-09-13
None,Forest,ENG,2,1355.50415039,1947-09-14,1947-09-17
None,Forest,ENG,2,1364.34460449,1947-09-18,1947-09-20
None,Forest,ENG,2,1371.73474121,1947-09-21,1947-09-27
None,Forest,ENG,2,1370.70056152,1947-09-28,1947-10-04
None,Forest,ENG,2,1360.03527832,1947-10-05,1947-10-11
None,Forest,ENG,2,1353.77050781,1947-10-12,1947-10-18
None,Forest,ENG,2,1360.90466309,1947-10-19,1947-10-19
None,Forest,ENG,2,1388.90466309,1947-10-20,1947-10-25
None,Forest,ENG,2,1392.48718262,1947-10-26,1947-11-01
None,Forest,ENG,2,1406.50585938,1947-11-02,1947-11-08
None,Forest,ENG,2,1407.88977051,1947-11-09,1947-11-15
None,Forest,ENG,2,1397.16687012,1947-11-16,1947-11-22
None,Forest,ENG,2,1399.8494873,1947-11-23,1947-11-29
None,Forest,ENG,2,1397.39709473,1947-11-30,1947-12-06
None,Forest,ENG,2,1398.73718262,1947-12-07,1947-12-13
None,Forest,ENG,2,1388.67211914,1947-12-14,1947-12-20
None,Forest,ENG,2,1383.32568359,1947-12-21,1947-12-26
None,Forest,ENG,2,1373.80615234,1947-12-27,1947-12-27
None,Forest,ENG,2,1379.99255371,1947-12-28,1948-01-03
None,Forest,ENG,2,1386.2755127,1948-01-04,1948-01-17
None,Forest,ENG,2,1391.08447266,1948-01-18,1948-01-31
None,Forest,ENG,2,1398.99353027,1948-02-01,1948-02-14
None,Forest,ENG,2,1397.30639648,1948-02-15,1948-02-21
None,Forest,ENG,2,1389.30456543,1948-02-22,1948-02-28
None,Forest,ENG,2,1395.60424805,1948-02-29,1948-03-06
None,Forest,ENG,2,1398.49963379,1948-03-07,1948-03-13
None,Forest,ENG,2,1384.37280273,1948-03-14,1948-03-20
None,Forest,ENG,2,1388.25524902,1948-03-21,1948-03-26
None,Forest,ENG,2,1384.73571777,1948-03-27,1948-03-27
None,Forest,ENG,2,1385.40258789,1948-03-28,1948-03-29
None,Forest,ENG,2,1385.27966309,1948-03-30,1948-04-03
None,Forest,ENG,2,1382.73779297,1948-04-04,1948-04-10
None,Forest,ENG,2,1391.55395508,1948-04-11,1948-04-11
None,Forest,ENG,2,1414.55395508,1948-04-12,1948-04-12
None,Forest,ENG,2,1434.54748535,1948-04-13,1948-04-17
None,Forest,ENG,2,1437.55895996,1948-04-18,1948-04-24
None,Forest,ENG,2,1434.32312012,1948-04-25,1948-05-01
None,Forest,ENG,2,1428.57275391,1948-05-02,1948-05-17
None,Forest,ENG,2,1455.57275391,1948-05-18,1948-08-21
None,Forest,ENG,2,1446.58837891,1948-08-22,1948-08-24
None,Forest,ENG,2,1457.75512695,1948-08-25,1948-08-28
None,Forest,ENG,2,1446.69897461,1948-08-29,1948-09-01
None,Forest,ENG,2,1445.99365234,1948-09-02,1948-09-04
None,Forest,ENG,2,1450.94494629,1948-09-05,1948-09-08
None,Forest,ENG,2,1439.79772949,1948-09-09,1948-09-11
None,Forest,ENG,2,1436.68920898,1948-09-12,1948-09-15
None,Forest,ENG,2,1427.54760742,1948-09-16,1948-09-18
None,Forest,ENG,2,1425.97351074,1948-09-19,1948-09-25
None,Forest,ENG,2,1419.32568359,1948-09-26,1948-10-02
None,Forest,ENG,2,1423.96350098,1948-10-03,1948-10-09
None,Forest,ENG,2,1414.63061523,1948-10-10,1948-10-10
None,Forest,ENG,2,1427.63061523,1948-10-11,1948-10-16
None,Forest,ENG,2,1440.31616211,1948-10-17,1948-10-23
None,Forest,ENG,2,1432.46765137,1948-10-24,1948-10-30
None,Forest,ENG,2,1443.1817627,1948-10-31,1948-11-06
None,Forest,ENG,2,1441.46862793,1948-11-07,1948-11-11
None,Forest,ENG,2,1445.46862793,1948-11-12,1948-11-13
None,Forest,ENG,2,1438.60852051,1948-11-14,1948-11-20
None,Forest,ENG,2,1429.71691895,1948-11-21,1948-12-04
None,Forest,ENG,2,1445.37280273,1948-12-05,1948-12-11
