Rank,Club,Country,Level,Elo,From,To
None,Middlesbrough,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Middlesbrough,ENG,1,1561.35766602,1946-09-01,1946-09-04
None,Middlesbrough,ENG,1,1571.54638672,1946-09-05,1946-09-07
None,Middlesbrough,ENG,1,1576.15979004,1946-09-08,1946-09-14
None,Middlesbrough,ENG,1,1571.4543457,1946-09-15,1946-09-21
None,Middlesbrough,ENG,1,1578.15014648,1946-09-22,1946-09-28
None,Middlesbrough,ENG,1,1572.24621582,1946-09-29,1946-09-29
None,Middlesbrough,ENG,1,1589.24621582,1946-09-30,1946-10-03
None,Middlesbrough,ENG,1,1595.24621582,1946-10-04,1946-10-05
None,Middlesbrough,ENG,1,1599.8145752,1946-10-06,1946-10-09
None,Middlesbrough,ENG,1,1597.5255127,1946-10-10,1946-10-12
None,Middlesbrough,ENG,1,1599.20031738,1946-10-13,1946-10-19
None,Middlesbrough,ENG,1,1601.16931152,1946-10-20,1946-10-26
None,Middlesbrough,ENG,1,1607.26855469,1946-10-27,1946-11-02
None,Middlesbrough,ENG,1,1621.93286133,1946-11-03,1946-11-09
None,Middlesbrough,ENG,1,1606.71008301,1946-11-10,1946-11-16
None,Middlesbrough,ENG,1,1632.10009766,1946-11-17,1946-11-23
None,Middlesbrough,ENG,1,1627.6081543,1946-11-24,1946-11-30
None,Middlesbrough,ENG,1,1624.05456543,1946-12-01,1946-12-07
None,Middlesbrough,ENG,1,1629.39758301,1946-12-08,1946-12-14
None,Middlesbrough,ENG,1,1650.61364746,1946-12-15,1946-12-21
None,Middlesbrough,ENG,1,1654.98547363,1946-12-22,1946-12-25
None,Middlesbrough,ENG,1,1654.26123047,1946-12-26,1946-12-26
None,Middlesbrough,ENG,1,1659.80554199,1946-12-27,1946-12-28
None,Middlesbrough,ENG,1,1648.19177246,1946-12-29,1947-01-01
None,Middlesbrough,ENG,1,1654.86071777,1947-01-02,1947-01-04
None,Middlesbrough,ENG,1,1646.50891113,1947-01-05,1947-01-18
None,Middlesbrough,ENG,1,1632.30505371,1947-01-19,1947-01-29
None,Middlesbrough,ENG,1,1643.04431152,1947-01-30,1947-02-01
None,Middlesbrough,ENG,1,1629.03088379,1947-02-02,1947-02-15
None,Middlesbrough,ENG,1,1635.08215332,1947-02-16,1947-02-22
None,Middlesbrough,ENG,1,1639.43286133,1947-02-23,1947-03-08
None,Middlesbrough,ENG,1,1638.51696777,1947-03-09,1947-03-15
None,Middlesbrough,ENG,1,1631.62219238,1947-03-16,1947-03-22
None,Middlesbrough,ENG,1,1619.39550781,1947-03-23,1947-03-29
None,Middlesbrough,ENG,1,1611.32495117,1947-03-30,1947-04-04
None,Middlesbrough,ENG,1,1611.75183105,1947-04-05,1947-04-05
None,Middlesbrough,ENG,1,1620.99133301,1947-04-06,1947-04-07
None,Middlesbrough,ENG,1,1608.34802246,1947-04-08,1947-04-12
None,Middlesbrough,ENG,1,1597.55444336,1947-04-13,1947-04-13
None,Middlesbrough,ENG,1,1587.55444336,1947-04-14,1947-04-19
None,Middlesbrough,ENG,1,1577.80200195,1947-04-20,1947-04-26
None,Middlesbrough,ENG,1,1577.94787598,1947-04-27,1947-05-03
None,Middlesbrough,ENG,1,1565.39733887,1947-05-04,1947-05-04
None,Middlesbrough,ENG,1,1569.39733887,1947-05-05,1947-05-10
None,Middlesbrough,ENG,1,1561.88244629,1947-05-11,1947-05-17
None,Middlesbrough,ENG,1,1554.04260254,1947-05-18,1947-05-20
None,Middlesbrough,ENG,1,1541.04260254,1947-05-21,1947-05-26
None,Middlesbrough,ENG,1,1558.04260254,1947-05-27,1947-08-23
None,Middlesbrough,ENG,1,1559.0949707,1947-08-24,1947-08-25
None,Middlesbrough,ENG,1,1563.41247559,1947-08-26,1947-08-30
None,Middlesbrough,ENG,1,1559.19274902,1947-08-31,1947-09-03
None,Middlesbrough,ENG,1,1570.27844238,1947-09-04,1947-09-06
None,Middlesbrough,ENG,1,1578.42700195,1947-09-07,1947-09-10
None,Middlesbrough,ENG,1,1597.08044434,1947-09-11,1947-09-13
