fpl_code,fpl_name,clubelo_name
2,Leeds,Leeds
3,Arsenal,Arsenal
7,Aston Villa,Aston Villa
8,Chelsea,Chelsea
11,Everton,Everton
13,Leicester,Leicester
14,Liverpool,Liverpool
20,Southampton,Southampton
21,West Ham,West Ham
90,Burnley,Burnley
94,Brentford,Brentford
31,Crystal Palace,Crystal Palace
36,Brighton,Brighton
45,Norwich,Norwich
57,Watford,Watford
4,Newcastle,Newcastle
43,Man City,Man City
1,Man Utd,Man United
39,Wolves,Wolves
6,Spurs,Tottenham
54,Fulham,Fulham
49,Sheffield Utd,Sheffield United
35,West Brom,West Brom
91,Bournemouth,Bournemouth
97,Cardiff,Cardiff
38,Huddersfield,Huddersfield
80,Swansea,Swansea
110,Stoke,Stoke
56,Sunderland,Sunderland
25,Middlesbrough,Middlesbrough
88,Hull,Hull
17,Nott'm Forest,Forest
102,Luton,Luton
40,Ipswich,Ipswich
