element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
58,2,15,2,True,2025-08-16T11:30:00Z,0,0,1,False,90,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,3,6,2,11,1,0.05,0.03,0.08,1.43,50,0,19130,0,0
58,13,5,1,False,2025-08-23T14:00:00Z,1,0,2,False,15,0,0,0,1,0,0,0,0,0,0,0,5,1.6,0.8,2.0,0.4,0,0,1,1,1,0.00,0.00,0.00,0.83,50,-519,24128,3038,3557
58,21,8,0,True,2025-08-31T18:00:00Z,0,3,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-6990,17157,693,7683
58,36,9,0,False,2025-09-13T14:00:00Z,0,0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-3667,14103,128,3795
58,48,17,6,False,2025-09-21T13:00:00Z,1,1,5,False,81,0,1,0,1,0,0,0,0,0,0,1,28,38.2,29.0,0.0,6.7,4,2,2,8,1,0.00,0.08,0.08,1.05,49,-1204,13175,498,1702
58,51,10,1,True,2025-09-28T13:00:00Z,3,1,6,False,18,0,0,0,0,0,0,0,0,0,0,0,5,7.6,0.7,0.0,0.8,4,1,1,6,0,0.00,0.01,0.01,0.20,49,2050,15946,3151,1101
58,62,3,5,True,2025-10-05T13:00:00Z,2,1,7,False,90,0,1,0,1,0,0,0,0,0,0,0,22,31.2,30.4,5.0,6.7,2,7,1,10,1,0.02,0.19,0.20,0.42,49,893,17166,2088,1195
58,79,18,2,False,2025-10-19T13:00:00Z,1,2,8,False,90,0,0,0,1,0,0,0,0,0,0,0,23,17.0,4.9,0.0,2.2,2,5,4,11,1,0.00,0.02,0.02,0.75,49,1860,19687,3305,1445
58,82,13,2,True,2025-10-26T14:00:00Z,1,0,9,False,90,0,0,1,0,0,0,0,1,0,0,0,8,13.0,14.3,0.0,2.7,2,5,2,9,1,0.00,0.04,0.04,1.18,49,533,20428,1807,1274
58,95,12,2,False,2025-11-01T20:00:00Z,2,0,10,False,90,0,0,0,2,0,0,0,0,0,0,0,14,8.6,15.1,0.0,2.4,2,3,1,6,1,0.00,0.01,0.01,1.19,49,105,20838,1534,1429
58,101,4,2,True,2025-11-09T14:00:00Z,4,0,11,False,80,0,0,1,0,0,0,0,1,0,0,0,10,16.8,12.7,7.0,3.7,2,2,3,7,1,0.03,0.04,0.07,1.52,49,164,21220,1440,1276
58,116,11,4,False,2025-11-23T14:00:00Z,1,2,12,False,90,0,0,0,1,0,0,0,0,0,0,0,18,27.2,22.9,0.0,5.0,7,4,2,13,1,0.00,0.07,0.07,1.79,49,180,21782,1410,1230
58,121,20,11,True,2025-11-30T14:05:00Z,1,0,13,False,87,1,0,1,0,0,0,0,0,0,0,3,35,44.4,4.3,7.0,5.6,0,1,3,4,1,0.09,0.03,0.12,0.29,49,185,22129,1202,1017
58,133,6,2,False,2025-12-03T19:30:00Z,3,4,14,False,69,0,0,0,2,0,0,0,0,0,0,0,12,6.8,15.8,0.0,2.3,2,0,1,3,1,0.00,0.01,0.01,1.42,49,2724,25474,3406,682
58,141,1,10,True,2025-12-06T12:30:00Z,2,1,15,False,90,0,1,0,1,0,0,0,0,0,0,3,37,36.6,16.6,11.0,6.4,2,6,4,12,1,0.09,0.04,0.13,1.92,49,699,25988,2302,1603
58,160,19,1,False,2025-12-14T14:00:00Z,2,3,16,False,90,0,0,0,2,0,0,0,1,0,0,0,11,5.4,7.3,0.0,1.3,2,7,1,10,1,0.00,0.04,0.04,1.03,49,35414,66244,37917,2503
58,161,14,2,True,2025-12-21T16:30:00Z,2,1,17,False,87,0,0,0,1,0,0,0,0,0,0,0,2,5.6,2.9,0.0,0.9,2,2,3,7,1,0.00,0.01,0.01,1.27,49,13961,77379,22310,8349
58,174,7,1,False,2025-12-27T17:30:00Z,1,2,18,False,82,0,0,0,1,0,0,0,1,0,0,0,6,10.6,2.5,17.0,3.0,2,4,1,7,1,0.18,0.00,0.18,2.12,49,7057,84116,15764,8707
