fpl_code,fpl_name,theoddsapi_name
3,Arsenal,Arsenal
7,Aston Villa,Aston Villa
91,Bournemouth,Bournemouth
94,Brentford,Brentford
8,Chelsea,Chelsea
31,Crystal Palace,Crystal Palace
11,Everton,Everton
54,Fulham,Fulham
14,Liverpool,Liverpool
20,Southampton,Southampton
17,Nott'm Forest,Nottingham Forest
13,Leicester,Leicester City
4,Newcastle,Newcastle United
43,Man City,Manchester City
21,West Ham,West Ham United
2,Leeds,Leeds United
1,Man Utd,Manchester United
36,Brighton,Brighton and Hove Albion
39,Wolves,Wolverhampton Wanderers
6,Spurs,Tottenham Hotspur
90,Burnley,Burnley
102,Luton,Luton
49,Sheffield Utd,Sheffield United
40,Ipswich,Ipswich Town
56,Sunderland,Sunderland
