fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
1,28778,Liverpool,Bournemouth,Liverpool,Bournemouth
2,28779,Aston Villa,Newcastle,Aston Villa,Newcastle United
3,28780,Brighton,Fulham,Brighton,Fulham
6,28782,Spurs,Burnley,Tottenham,Burnley
5,28781,Sunderland,West Ham,Sunderland,West Ham
7,28783,Wolves,Man City,Wolverhampton Wanderers,Manchester City
8,28784,Chelsea,Crystal Palace,Chelsea,Crystal Palace
4,28785,Nott'm Forest,Brentford,Nottingham Forest,Brentford
9,28786,Man Utd,Arsenal,Manchester United,Arsenal
10,28787,Leeds,Everton,Leeds,Everton
20,28788,West Ham,Chelsea,West Ham,Chelsea
18,28789,Man City,Spurs,Manchester City,Tottenham
12,28792,Bournemouth,Wolves,Bournemouth,Wolverhampton Wanderers
13,28790,Brentford,Aston Villa,Brentford,Aston Villa
14,28791,Burnley,Sunderland,Burnley,Sunderland
11,28793,Arsenal,Leeds,Arsenal,Leeds
15,28794,Crystal Palace,Nott'm Forest,Crystal Palace,Nottingham Forest
16,28795,Everton,Brighton,Everton,Brighton
17,28796,Fulham,Man Utd,Fulham,Manchester United
19,28797,Newcastle,Liverpool,Newcastle United,Liverpool
23,28798,Chelsea,Fulham,Chelsea,Fulham
26,28802,Man Utd,Burnley,Manchester United,Burnley
29,28799,Spurs,Bournemouth,Tottenham,Bournemouth
28,28801,Sunderland,Brentford,Sunderland,Brentford
30,28800,Wolves,Everton,Wolverhampton Wanderers,Everton
24,28803,Leeds,Newcastle,Leeds,Newcastle United
22,28805,Brighton,Man City,Brighton,Manchester City
27,28804,Nott'm Forest,West Ham,Nottingham Forest,West Ham
25,28806,Liverpool,Arsenal,Liverpool,Arsenal
21,28807,Aston Villa,Crystal Palace,Aston Villa,Crystal Palace
31,28808,Arsenal,Nott'm Forest,Arsenal,Nottingham Forest
32,28810,Bournemouth,Brighton,Bournemouth,Brighton
35,28811,Crystal Palace,Sunderland,Crystal Palace,Sunderland
36,28812,Everton,Aston Villa,Everton,Aston Villa
37,28813,Fulham,Leeds,Fulham,Leeds
39,28809,Newcastle,Wolves,Newcastle United,Wolverhampton Wanderers
40,28814,West Ham,Spurs,West Ham,Tottenham
33,28815,Brentford,Chelsea,Brentford,Chelsea
34,28816,Burnley,Liverpool,Burnley,Liverpool
38,28817,Man City,Man Utd,Manchester City,Manchester United
46,28818,Liverpool,Everton,Liverpool,Everton
43,28821,Brighton,Spurs,Brighton,Tottenham
44,28822,Burnley,Nott'm Forest,Burnley,Nottingham Forest
49,28819,West Ham,Crystal Palace,West Ham,Crystal Palace
50,28820,Wolves,Leeds,Wolverhampton Wanderers,Leeds
47,28824,Man Utd,Chelsea,Manchester United,Chelsea
45,28825,Fulham,Brentford,Fulham,Brentford
42,28823,Bournemouth,Newcastle,Bournemouth,Newcastle United
48,28826,Sunderland,Aston Villa,Sunderland,Aston Villa
41,28827,Arsenal,Man City,Arsenal,Manchester City
52,28828,Brentford,Man Utd,Brentford,Manchester United
53,28829,Chelsea,Brighton,Chelsea,Brighton
54,28830,Crystal Palace,Liverpool,Crystal Palace,Liverpool
56,28832,Leeds,Bournemouth,Leeds,Bournemouth
57,28833,Man City,Burnley,Manchester City,Burnley
59,28834,Nott'm Forest,Sunderland,Nottingham Forest,Sunderland
60,28835,Spurs,Wolves,Tottenham,Wolverhampton Wanderers
51,28831,Aston Villa,Fulham,Aston Villa,Fulham
58,28836,Newcastle,Arsenal,Newcastle United,Arsenal
55,28837,Everton,West Ham,Everton,West Ham
63,28838,Bournemouth,Fulham,Bournemouth,Fulham
67,28844,Leeds,Spurs,Leeds,Tottenham
61,28839,Arsenal,West Ham,Arsenal,West Ham
68,28845,Man Utd,Sunderland,Manchester United,Sunderland
65,28842,Chelsea,Liverpool,Chelsea,Liverpool
62,28840,Aston Villa,Burnley,Aston Villa,Burnley
66,28843,Everton,Crystal Palace,Everton,Crystal Palace
69,28846,Newcastle,Nott'm Forest,Newcastle United,Nottingham Forest
